task_id,n,Fc_over_F,F_over_Fc,F,Fc,J,gamma_mu,zeta,simulation_time,alpha,dt,nums,timestamp
117,1,12.60000000000001,0.0793650793650793,9.387755102040808e-13,1.1828571428571428e-11,3.1516141507789705e-08,0.003379198239446379,1.0065662862101696e-07,244.11117577552795,0.07,0.001,1000000,20251006_031217
118,1,12.70000000000001,0.0787401574803149,9.313835770528677e-13,1.1828571428571428e-11,3.15112276523761e-08,0.0034054862221577493,1.0065662862101696e-07,250.51615476608276,0.07,0.001,1000000,20251006_031627
119,1,12.800000000000011,0.07812499999999993,9.241071428571419e-13,1.1828571428571428e-11,3.154491792323868e-08,0.0034359707235492643,1.0065662862101696e-07,242.59095430374146,0.07,0.001,1000000,20251006_032030
120,1,12.900000000000011,0.07751937984496117,9.169435215946836e-13,1.1828571428571428e-11,3.156378684210143e-08,0.0034648855629766046,1.0065662862101696e-07,215.251296043396,0.07,0.001,1000000,20251006_021420
121,1,13.00000000000001,0.07692307692307686,9.09890109890109e-13,1.1828571428571428e-11,3.152184018342952e-08,0.0034871047902451826,1.0065662862101696e-07,218.15012979507446,0.07,0.001,1000000,20251006_021759
122,1,13.10000000000001,0.07633587786259537,9.029443838604137e-13,1.1828571428571428e-11,3.151045102842593e-08,0.0035126590557977605,1.0065662862101696e-07,216.4473705291748,0.07,0.001,1000000,20251006_022135
123,1,13.20000000000001,0.0757575757575757,8.961038961038954e-13,1.1828571428571428e-11,3.1536882056792595e-08,0.003542442164192245,1.0065662862101696e-07,216.6922209262848,0.07,0.001,1000000,20251006_022512
124,1,13.300000000000011,0.07518796992481197,8.893662728249186e-13,1.1828571428571428e-11,3.150874018430332e-08,0.00356609380854258,1.0065662862101696e-07,215.111426115036,0.07,0.001,1000000,20251006_022847
125,1,13.400000000000011,0.07462686567164173,8.827292110874192e-13,1.1828571428571428e-11,3.1569897031955305e-08,0.0035998801911570275,1.0065662862101696e-07,217.62804079055786,0.07,0.001,1000000,20251006_023225
126,1,13.50000000000001,0.07407407407407401,8.761904761904755e-13,1.1828571428571428e-11,3.153383263634102e-08,0.0036226018964208256,1.0065662862101696e-07,219.40384006500244,0.07,0.001,1000000,20251006_023604
127,1,13.600000000000012,0.07352941176470582,8.697478991596631e-13,1.1828571428571428e-11,3.157084675098576e-08,0.0036537196580013237,1.0065662862101696e-07,218.34337759017944,0.07,0.001,1000000,20251006_023942
128,1,13.700000000000012,0.07299270072992695,8.633993743482787e-13,1.1828571428571428e-11,3.1481214861431215e-08,0.0036701357992498284,1.0065662862101696e-07,220.09292197227478,0.07,0.001,1000000,20251006_024322
129,1,13.800000000000011,0.07246376811594198,8.571428571428565e-13,1.1828571428571428e-11,3.15286084283305e-08,0.0037024906677592525,1.0065662862101696e-07,219.04231214523315,0.07,0.001,1000000,20251006_024702
